solver_node,sumo_node_id
1581,418988963
1582,418988964
1583,418988965
1584,418988966
1585,418988967
1586,418988968
1587,418988969
1588,418988970
1589,418988973
1590,418988974
1591,418988975
1592,418988976
1593,418988978
1594,418991447
1595,418991454
1596,418991455
1597,418992828
1598,418992829
1599,418995332
1600,418995334
1601,418996072
1602,418996074
1603,418996075
1604,418996076
1605,418996077
1606,418996078
1607,418996079
1608,418996080
1609,418996081
1610,420326318
1611,420326441
1612,420326597
1613,420326601
1614,420326605
1615,420326608
1616,420326610
1617,420326612
1618,4211155936
1619,421138189
1620,421138214
1621,421138218
1622,421138233
1623,421146123
1624,421146126
1625,421146128
1626,421155707
1627,421162254
1628,421163789
1629,4216578875
1630,422347593
1631,422347597
1632,422348163
1633,4250580079
1634,429385249
1635,4313418422
1636,4318773469
1637,4318773471
1638,4318786921
1639,438109755
1640,442398939
1641,442399958
1642,442399959
1643,442399962
1644,442399963
1645,442399964
1646,442399965
1647,442399966
1648,442399967
1649,442399968
1650,442432391
1651,442432394
1652,442432398
1653,442435096
1654,442435097
1655,442435098
1656,442435099
1657,442435100
1658,442435101
1659,442435102
1660,442755833
1661,442755834
1662,442755836
1663,442755843
1664,442755844
1665,442755846
1666,442755847
1667,442755851
1668,442755852
1669,442755853
1670,442760425
1671,442760426
1672,442760427
1673,442760429
1674,442760431
1675,442760432
1676,442760433
1677,442760434
1678,442760435
1679,442760436
1680,442760437
1681,442760443
1682,442760444
1683,442760454
1684,442760456
1685,442760457
1686,442760458
1687,442766018
1688,443127177
1689,443127178
1690,443127179
1691,443127180
1692,443127183
1693,443127184
1694,443127185
1695,443127186
1696,443127187
1697,443127188
1698,443127189
1699,443127190
1700,443127191
1701,443127192
1702,443127193
1703,443127194
1704,443127195
1705,443127196
1706,443127197
1707,443127198
1708,443127199
1709,443127200
1710,443970618
1711,4440816377
1712,4442004884
1713,4442004885
1714,444672672
1715,444672692
1716,445219810
1717,4458644201
1718,4487224450
1719,4492572289
1720,4492572290
1721,4494532663
1722,4553256683
1723,457749575
1724,457749578
1725,457749579
1726,457749580
1727,457749581
1728,457749583
1729,4612010942
1730,4612010944
1731,4612010954
1732,4612132723
1733,4616498255
1734,4627621475
1735,4627621476
1736,4627621477
1737,4627621478
1738,4627621479
1739,4627621480
1740,4711821577
1741,4711826490
1742,4711835378
1743,4711835382
1744,4711856139
1745,474770401
1746,4781390282
1747,4790263183
1748,4803110849
1749,481695373
1750,481695379
1751,481695382
1752,481695396
1753,481695408
1754,481695414
1755,4866124419
1756,4895169844
1757,4895169845
1758,4895174142
1759,4907687400
1760,492693266
1761,499953662
1762,499953663
1763,499953664
1764,499953666
1765,499953667
1766,499953671
1767,499953675
1768,499953678
1769,5001639089
1770,500375328
1771,500375337
1772,502840329
1773,502840355
1774,502840361
1775,502855751
1776,5033066040
1777,517706745
1778,517706844
1779,517706894
1780,517706895
1781,517706896
1782,5255035756
1783,5255035757
1784,533769751
1785,533769769
1786,533769792
1787,533847493
1788,533847502
1789,533847513
1790,533847516
1791,542897507
1792,542938148
1793,545312693
1794,545312773
1795,5562961578
1796,5689341088
1797,5824671919
1798,6084895932
1799,6091317342
1800,6091317360
1801,6091347617
1802,613999354
1803,6302226026
1804,6541054300
1805,6541054306
1806,676441729
1807,6835825381
1808,6835825382
1809,6835868985
1810,6835868987
1811,6835868989
1812,6928676082
1813,6952902963
1814,7041183462
1815,7086411992
1816,7367755780
1817,7369426378
1818,7369497883
1819,7463948896
1820,751074985-AddedOnRampNode
1821,7617097874
1822,7742395185
1823,7881859029
1824,7935712602
1825,7978961180
1826,8060737230
1827,8098810933
1828,8163580146
1829,8163580147
1830,8163580148
1831,8163580152
1832,8163580153
1833,8189144851
1834,8189158183
1835,8189608931
1836,8189608957
1837,8189608958
1838,8189608959
1839,8189608960
1840,8189608961
1841,8189608962
1842,8189726929
1843,8192887980
1844,8195956655
1845,8195956656
1846,8195956657
1847,8195956658
1848,8241884467
1849,8241893540
1850,8241893609
1851,8256400677
1852,8256534784
1853,8386062664
1854,8401095378
1855,8477238550
1856,8492049429
1857,8603157394
1858,8616701655
1859,8770896924
1860,8881861575
1861,8881878776
1862,8881878777
1863,8891800729
1864,8905697073
1865,8932491474
1866,8947325195
1867,8971292136
