node_id,x,y
298584897,7090.9,2858.42
298584936,7344.78,3012.12
298584984,7199.72,2788.53
298585000,7451.4,2947.72
298585001,7307.8,2718.95
298825558,6475.14,1628.33
298825562,6762.12,1772.85
298825565,7031.63,2170.26
298826269,6419.37,1921.21
298826273,6525.84,1929.26
298826279,6607.41,1964.04
299022624,1435.78,3081.35
299022625,1515.8,3000.74
299022634,1581.38,3049.32
299022645,1599.65,3056.13
299022670,1738.73,2743.97
299022671,1734.0,2568.17
299022674,1788.51,2536.68
299022677,1818.63,2477.03
299022692,1835.13,2458.17
299022707,1902.08,2513.4
299022715,1919.14,2503.57
299022720,1627.57,2889.97
299027461,5582.48,5482.73
299027477,5802.94,5360.81
299027480,5965.56,5442.64
299027481,5995.05,5456.38
299027491,5868.2,5575.75
299045451,7937.62,4086.16
299045489,6519.84,4104.44
299045492,6795.46,4231.93
299045502,6744.82,4341.98
299045505,7062.66,4490.0
299045509,7091.81,4369.12
299045511,7018.86,4883.95
299045530,6212.44,4604.9
299045532,5999.73,4491.78
299045540,5519.51,4229.11
299045545,5335.62,4130.76
299045559,3796.5,4010.58
299045561,3736.71,3952.74
299045563,3660.36,3887.29
299045565,3600.45,3960.09
299045585,3488.53,4101.1
299045587,3408.21,4036.43
299045594,2823.57,3690.61
299045598,2738.1,3877.55
299089229,7631.7,5649.3
299089235,7862.46,5172.24
299089256,7692.17,4703.2
299134024,2899.26,2288.63
299134025,2804.46,2247.92
299134026,2728.26,2216.35
299134041,2495.63,2430.77
299183801,792.28,5269.47
299184002,911.35,4782.61
299276338,6092.39,1421.3
299276339,6035.87,1495.52
299276344,5965.59,1596.24
299276352,5869.69,1759.94
299276360,5698.74,1792.98
299276361,5112.97,1385.22
299276374,5533.73,1223.77
299292021,4164.79,4620.43
299391259,6999.92,5656.42
300153147,8048.64,3941.87
300186055,7819.87,2852.35
300190242,7761.89,2757.62
300190245,7609.55,2522.72
300707088,3772.19,1904.01
300707133,3650.82,2024.24
300707171,2415.45,2420.16
300707174,2426.81,2398.5
300707187,2352.34,2566.97
300707191,2297.87,2577.02
300707211,2597.39,2688.66
300707222,2634.71,2700.86
301490890,1073.75,1698.52
301490899,1246.73,1698.11
301490902,1304.92,1632.36
301490903,1364.05,1575.01
301490904,1311.07,1518.37
301490905,1370.65,1462.83
301490906,1447.81,1530.24
301490917,1558.05,1914.35
301490923,1653.33,1634.28
301490930,1729.48,1693.69
301490931,1803.04,1751.14
301490941,2591.87,1640.42
301490943,2522.64,1598.51
301490944,2487.81,1520.07
301490951,2200.78,1436.06
301490957,2250.04,1625.9
301490962,2223.84,1644.14
302464754,4009.19,835.63
302464763,4717.97,1525.76
30255438,5295.18,2647.05
30255443,4800.96,2377.62
30255446,4580.38,2267.96
30255449,4312.69,2083.96
302857856,3124.79,4095.88
302857858,3289.1,4192.93
302857860,3322.98,4327.37
302857870,3896.68,4417.61
302857874,4134.0,4197.06
302857875,4073.23,4119.9
302857880,3876.09,3864.96
302857881,3836.81,3830.72
302857898,3268.8,3921.83
